old_ids,new_ids,detected_count,product,generic_or_non_metabolic,in_isg2
Clo1313_2775,CLO1313_RS14100,4,nitrate ABC transporter substrate-binding protein,,
Clo1313_2788,CLO1313_RS14165,4,hypothetical protein,y,
Clo1313_0195,CLO1313_RS01005,4,ATP synthase subunit beta,,
Clo1313_1615,CLO1313_RS08145,4,indolepyruvate oxidoreductase,,
Clo1313_1361,CLO1313_RS06895,4,hypothetical protein,y,
Clo1313_1356,CLO1313_RS06870,4,2-oxoglutarate ferredoxin oxidoreductase subunit gamma,,"['OOR3', 'POR']"
Clo1313_0068,CLO1313_RS00360,4,shikimate kinase,,['SKK']
Clo1313_1159,CLO1313_RS05885,4,MoxR family ATPase,,
Clo1313_1613,CLO1313_RS08135,4,ACT domain-containing protein,,
Clo1313_2093,CLO1313_RS10605,4,triose-phosphate isomerase,,['TPI']
Clo1313_1205,CLO1313_RS06130,4,peptidase U32,,
Clo1313_1606,CLO1313_RS08105,4,S-methyl-5'-thioadenosine phosphorylase,,['MTAP']
Clo1313_0245,CLO1313_RS01245,4,nucleoside triphosphate pyrophosphohydrolase,,"['NTPP10', 'NTPP9', 'DUTPDP', 'NTPP1', 'NTPP2', 'NTTP8', 'NTPP11']"
Clo1313_0700,CLO1313_RS03625,4,aminoacyl-histidine dipeptidase,,"['AABHH', 'NHHA', 'AMPTASECG']"
Clo1313_0896,CLO1313_RS04590,4,glycosyltransferase family 4 protein,,
Clo1313_2325,CLO1313_RS11800,4,PLP-dependent transferase,,"['SHSL4', 'AHSL', 'SHSL1', 'SLCYSS', 'CGS', 'CYSDS', 'CYSTGL', 'SHSL2', 'SELCYSTGL', 'ACHMSSELCYSL', 'SUCHMSSELCYSL', 'PHSCT', 'CTINBL', 'SELCYSTL', 'CYSTL']"
Clo1313_0318,CLO1313_RS01640,4,elongation factor G,y,
Clo1313_2710,CLO1313_RS13760,4,hypothetical protein,y,
Clo1313_0793,CLO1313_RS04075,4,amino acid ABC transporter substrate-binding protein,,"['ASNt2r', 'ASPt2r', 'ARGt2r']"
Clo1313_2519,CLO1313_RS12760,4,copper amine oxidase,,
Clo1313_2428,CLO1313_RS12295,4,ABC transporter substrate-binding protein,,
Clo1313_1155,CLO1313_RS05865,4,serine hydroxymethyltransferase,,"['GHMT2r', 'GLYHMT']"
Clo1313_0313,CLO1313_RS01615,4,DNA-directed RNA polymerase subunit beta,,
Clo1313_0949,CLO1313_RS04850,4,"pyruvate, phosphate dikinase",,['PPDK']
Clo1313_2555,CLO1313_RS12975,4,N-acetyl-gamma-glutamyl-phosphate reductase,,['AGPR']
Clo1313_0299,CLO1313_RS01545,4,ABC transporter,,
Clo1313_1540,CLO1313_RS07770,4,diaminopimelate decarboxylase,,['DAPDC']
Clo1313_1876,CLO1313_RS09485,4,6-phosphofructokinase,,"['PFK', 'PFK_5', 'F6PPT', 'PFK_2', 'PFK_6', 'PFK_4']"
Clo1313_0795,CLO1313_RS04085,4,amino acid ABC transporter ATP-binding protein,,"['LYSt2r', 'ASPt2r', 'ARGt2r', 'HISt2r', 'ASNt2r', 'GLUt2r', 'ILEt2r']"
Clo1313_2005,CLO1313_RS10150,4,ATP-dependent endonuclease,y,
Clo1313_0020,CLO1313_RS00115,4,pyruvate synthase,,"['OBFOR', 'POR', 'NITROTOLDEG']"
Clo1313_1030,CLO1313_RS05250,4,thymidylate synthase,,['TMDS']
Clo1313_1268,CLO1313_RS06440,4,carbamoyl-phosphate synthase large subunit,,['CBPS']
Clo1313_2538,CLO1313_RS12865,4,two-component sensor histidine kinase,,
Clo1313_0519,CLO1313_RS02655,4,ABC transporter ATP-binding protein,,
Clo1313_2018,CLO1313_RS10215,4,phenylalanine--tRNA ligase subunit alpha,,['PHETRS']
Clo1313_1878,CLO1313_RS09495,4,L-lactate dehydrogenase,,"['2HBO', 'LDH_L', 'MDH', 'MCLORi']"
Clo1313_1862,CLO1313_RS09410,4,thioredoxin,,
Clo1313_2747,CLO1313_RS13955,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_1491,CLO1313_RS07535,4,chorismate synthase,,['CHRS']
Clo1313_0514,CLO1313_RS02630,4,ABC transporter permease,,
Clo1313_1741,CLO1313_RS08805,4,response regulator,y,
Clo1313_2827,CLO1313_RS14350,4,peptidase M4,,
Clo1313_1222,CLO1313_RS06210,4,transcription termination/antitermination protein NusA,,
Clo1313_1427,CLO1313_RS07220,4,hypothetical protein,y,
Clo1313_0883,CLO1313_RS04525,4,histidine triad nucleotide-binding protein,,
Clo1313_1581,CLO1313_RS07980,4,5-methyltetrahydrofolate--homocysteine methyltransferase,,"['METS', 'MHPGLUTST', 'MS']"
Clo1313_0403,CLO1313_RS02040,4,lysine--tRNA ligase,,['LYSTRS']
Clo1313_1082,CLO1313_RS05505,4,nicotinate phosphoribosyltransferase,,['NAMNPP']
Clo1313_2261,CLO1313_RS11490,4,ABC transporter ATP-binding protein,,
Clo1313_0255,CLO1313_RS01305,4,"calcium-translocating P-type ATPase, PMCA-type",,
Clo1313_1017,CLO1313_RS05185,4,phosphohydrolase,,
Clo1313_1385,CLO1313_RS07015,4,alkaline shock response membrane anchor protein AmaP,,
Clo1313_1429,CLO1313_RS07230,4,YggS family pyridoxal phosphate-dependent enzyme,,['ALAR']
Clo1313_1482,CLO1313_RS07495,4,GntR family transcriptional regulator,y,
Clo1313_1500,CLO1313_RS07580,4,tyrosine--tRNA ligase,,['TYRTRS']
Clo1313_2055,CLO1313_RS10410,4,argininosuccinate lyase,,['ARGSL']
Clo1313_2049,CLO1313_RS10380,4,pilus assembly protein PilM,,
Clo1313_2048,CLO1313_RS10375,4,cell wall hydrolase,,['AMUAAH']
Clo1313_2724,CLO1313_RS13840,4,serine O-acetyltransferase,,['SERAT']
Clo1313_1161,CLO1313_RS05895,4,damage-inducible protein CinA,,
Clo1313_0913,CLO1313_RS04675,4,hypothetical protein,y,
Clo1313_0405,CLO1313_RS02045,4,chemotaxis protein CheW,y,
Clo1313_2544,CLO1313_RS12920,4,redox-regulated molecular chaperone Hsp33,,
Clo1313_0314,CLO1313_RS01620,4,DNA-directed RNA polymerase subunit beta',,
Clo1313_1788,CLO1313_RS09045,4,glycoside hydrolase,,['CELLULOSOME_TERM']
Clo1313_2178,CLO1313_RS11035,4,hypothetical protein,y,
Clo1313_0328,CLO1313_RS01690,4,trigger factor,y,
Clo1313_1512,CLO1313_RS07635,4,(d)CMP kinase,,"['UMPK', 'CYTK2n', 'CYTK1']"
Clo1313_1602,CLO1313_RS08085,4,hypothetical protein,y,
Clo1313_1342,CLO1313_RS06805,4,redox-regulated ATPase YchF,,
Clo1313_0216,CLO1313_RS01105,4,septation protein SpoVG,,
Clo1313_1481,CLO1313_RS07490,4,adenylosuccinate lyase,,"['ADSL1r', 'ADSL2r']"
Clo1313_0873,CLO1313_RS04480,4,aspartate kinase,,['ASPK']
Clo1313_0397,CLO1313_RS02010,4,glycoside hydrolase,,
Clo1313_1896,CLO1313_RS09585,4,peptide chain release factor 3,y,
Clo1313_2469,CLO1313_RS12510,4,prephenate dehydrogenase/arogenate dehydrogenase family protein,,['PPND']
Clo1313_0616,CLO1313_RS03160,4,ABC transporter ATP-binding protein,,
Clo1313_2004,CLO1313_RS10145,4,ATP-dependent helicase,,
Clo1313_2169,CLO1313_RS10990,4,hypothetical protein,y,
Clo1313_1430,CLO1313_RS07235,4,cell division protein SepF,y,
Clo1313_1673,CLO1313_RS08450,4,polyprenyl synthetase family protein,,"['OCTDPS', 'HEPDPS']"
Clo1313_2530,CLO1313_RS12825,4,glycoside hydrolase,,['CELLULOSOME_TERM']
Clo1313_0498,CLO1313_RS02525,4,proline--tRNA ligase,,['PROTRS']
Clo1313_1616,CLO1313_RS08150,4,indolepyruvate ferredoxin oxidoreductase subunit alpha,,
Clo1313_1053,CLO1313_RS05360,4,sporulation protein YhbH,,
Clo1313_0898,CLO1313_RS04600,4,glycosyltransferase family 2 protein,,
Clo1313_1852,CLO1313_RS09360,4,TIGR00299 family protein,,
Clo1313_1848,CLO1313_RS09340,4,ferredoxin-NADP+ reductase subunit alpha,,['FRNDPR2r']
Clo1313_2997,CLO1313_RS15230,4,polysaccharide biosynthesis protein,,"['HOMBPAL', 'HDCDH', 'BHPR', 'ECOAH2c2', 'NHMSCOAH', 'HMBPAL', 'HCBPHAL', 'R05602', 'PP2MO', 'HICHCOAL', 'R04399']"
Clo1313_2031,CLO1313_RS10285,4,type I glutamate--ammonia ligase,,['GLNS']
Clo1313_2094,CLO1313_RS10610,4,phosphoglycerate kinase,,"['PGK2', 'PGK']"
Clo1313_1960,CLO1313_RS09915,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_2464,CLO1313_RS12480,4,hypothetical protein,y,
Clo1313_1034,CLO1313_RS05270,4,50S ribosomal protein L20,,
Clo1313_0955,CLO1313_RS04885,4,ribonuclease J,y,
Clo1313_1792,CLO1313_RS09065,4,NADH-quinone oxidoreductase subunit NuoF,,"['NADH2r', 'BIF']"
Clo1313_1279,CLO1313_RS06495,4,transcription factor FapR,y,
Clo1313_0459,CLO1313_RS02330,4,30S ribosomal protein S8,,
Clo1313_0291,CLO1313_RS01505,4,hypothetical protein,y,
Clo1313_0945,CLO1313_RS04835,4,GHKL domain-containing protein,,
Clo1313_2247,CLO1313_RS11420,4,FprA family A-type flavoprotein,,
Clo1313_2618,CLO1313_RS13290,4,thioredoxin-disulfide reductase,,"['HSEOR', 'HSOR', 'TRDR', 'MSOR']"
Clo1313_2910,CLO1313_RS14790,4,flagellin,,
Clo1313_0952,CLO1313_RS04870,4,cupin domain-containing protein,,
Clo1313_2984,CLO1313_RS15165,4,hypothetical protein,y,
Clo1313_1216,CLO1313_RS06185,4,1-deoxy-D-xylulose-5-phosphate reductoisomerase,,['DXRI']
Clo1313_2264,CLO1313_RS11505,4,hypothetical protein,y,
Clo1313_2220,,4,,,
Clo1313_0489,CLO1313_RS02480,4,glucokinase,,"['ABGPT', 'GLUKA', 'HEX1']"
Clo1313_1150,CLO1313_RS05835,4,cysteine desulfurase,,['CYSDES']
Clo1313_1012,CLO1313_RS05160,4,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase,,"['IMPC', 'FTHFLi', 'AICART']"
Clo1313_1111,CLO1313_RS05645,4,fimbrial protein,,
Clo1313_1897,CLO1313_RS09590,4,S-layer homology domain-containing protein,,
Clo1313_0452,CLO1313_RS02295,4,50S ribosomal protein L16,,
Clo1313_1146,CLO1313_RS05820,4,GTPase Era,,
Clo1313_1437,CLO1313_RS07270,4,hypothetical protein,y,
Clo1313_2935,CLO1313_RS14915,4,V-type ATP synthase subunit I,,['ATPS']
Clo1313_1813,CLO1313_RS09170,4,diguanylate cyclase,,['CDGUNPD']
Clo1313_2619,CLO1313_RS13295,4,TlpA family protein disulfide reductase,,
Clo1313_1002,CLO1313_RS05115,4,glycosyl hydrolase,,"['PFK', 'F6PPT', 'CLBH', 'CGGH', 'BDG2HCGHD']"
Clo1313_2856,CLO1313_RS14510,4,carbohydrate-binding protein,,['CELLULOSOME_TERM']
Clo1313_0571,CLO1313_RS02915,4,NADH dehydrogenase subunit D,,['HYDA']
Clo1313_0805,CLO1313_RS04135,4,peptidase S1,,
Clo1313_0246,CLO1313_RS01250,4,HU family DNA-binding protein,,
Clo1313_0457,CLO1313_RS02320,4,50S ribosomal protein L5,,
Clo1313_3009,CLO1313_RS15290,4,polymerase,,
Clo1313_0433,CLO1313_RS02185,4,molecular chaperone GroEL,,
Clo1313_0749,CLO1313_RS03875,4,alanine--tRNA ligase,,['ALATRS']
Clo1313_0983,CLO1313_RS05020,4,hypothetical protein,y,
Clo1313_3019,CLO1313_RS15340,4,quinolinate synthase NadA,,['QULNS']
Clo1313_1503,CLO1313_RS07595,4,cysteine desulfurase NifS,,['CYSDES']
Clo1313_2693,CLO1313_RS13665,4,dockerin,,
Clo1313_0454,CLO1313_RS02305,4,30S ribosomal protein S17,,
Clo1313_0213,CLO1313_RS01090,4,beta-hydroxyacyl-ACP dehydratase,,"['3HAD160', '3HAD40_1', '3HAD80', '3HAD140', '3HAD120', '3HAD60', '3HAD100', '3HAD180']"
Clo1313_1354,CLO1313_RS06860,4,3-methyl-2-oxobutanoate dehydrogenase subunit VorB,,"['VOR1b', 'POR', 'VOR2b', 'IBOH_DH_LUMPED', 'VOR3b']"
Clo1313_0193,CLO1313_RS00995,4,F0F1 ATP synthase subunit alpha,,
Clo1313_2322,CLO1313_RS11785,4,ABC transporter permease,,['METt2r']
Clo1313_1833,CLO1313_RS09270,4,alcohol dehydrogenase,,['SBTD_D2']
Clo1313_2883,CLO1313_RS14650,4,3-isopropylmalate dehydratase small subunit,,"['IPPMIa', 'IPPMIb', 'CITCIb', 'MMHL']"
Clo1313_1172,CLO1313_RS05955,4,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,,['UAMAGS']
Clo1313_1112,CLO1313_RS05650,4,hypothetical protein,y,
Clo1313_1160,CLO1313_RS05890,4,L-lactate dehydrogenase,,"['2HBO', 'LDH_L', 'MCLORi']"
Clo1313_1005,CLO1313_RS05125,4,phosphoenolpyruvate synthase,,
Clo1313_0922,CLO1313_RS04720,4,histidine--tRNA ligase,,['HISTRS']
Clo1313_1108,CLO1313_RS05630,4,type II secretion system F family protein,,
Clo1313_1364,CLO1313_RS06910,4,branched-chain amino acid aminotransferase,,"['LEUTA', 'VALTA', 'ILETA']"
Clo1313_0675,CLO1313_RS03495,4,hypothetical protein,y,
Clo1313_1529,CLO1313_RS07715,4,agmatinase,,['AGMT']
Clo1313_0326,CLO1313_RS01680,4,excinuclease ABC subunit C,y,
Clo1313_1620,CLO1313_RS08170,4,M42 family peptidase,,
Clo1313_1124,CLO1313_RS05710,4,stage V sporulation protein S,,
Clo1313_0694,CLO1313_RS03590,4,hypothetical protein,y,
Clo1313_0740,CLO1313_RS03830,4,chromosome partitioning ATPase,,
Clo1313_0465,CLO1313_RS02360,4,preprotein translocase subunit SecY,,
Clo1313_1717,CLO1313_RS08685,4,formate C-acetyltransferase,,"['PFL', 'OBTFL']"
Clo1313_0082,CLO1313_RS00430,4,oligoendopeptidase F,,
Clo1313_1497,CLO1313_RS07565,4,aminopeptidase,,
Clo1313_0715,CLO1313_RS03700,4,DNA-binding response regulator,y,
Clo1313_1804,CLO1313_RS09125,4,30S ribosomal protein S15,,
Clo1313_1114,CLO1313_RS05660,4,hypothetical protein,y,
Clo1313_0460,CLO1313_RS02335,4,50S ribosomal protein L6,,
Clo1313_1607,CLO1313_RS08110,4,S-methyl-5-thioribose-1-phosphate isomerase,,['MTRI']
Clo1313_1328,CLO1313_RS06735,4,DUF34 domain-containing protein,,
Clo1313_2076,CLO1313_RS10515,4,hypothetical protein,y,
Clo1313_1847,CLO1313_RS09335,4,NADP-specific glutamate dehydrogenase,,"['GLUDy', 'GLUS']"
Clo1313_2584,CLO1313_RS13120,4,carbohydrate-binding protein,,
Clo1313_1914,CLO1313_RS09685,4,ATP-dependent Clp protease ATP-binding subunit,,
Clo1313_1690,CLO1313_RS08540,4,ABC transporter substrate-binding protein,,['FE3abc']
Clo1313_0672,CLO1313_RS03480,4,flavin reductase,,
Clo1313_0447,CLO1313_RS02270,4,50S ribosomal protein L23,,
Clo1313_1239,CLO1313_RS06285,4,peptidoglycan glycosyltransferase,,
Clo1313_2606,CLO1313_RS13235,4,arginine--tRNA ligase,,['ARGTRS']
Clo1313_2941,CLO1313_RS14945,4,ATP synthase subunit beta,,['ATPS']
Clo1313_2891,CLO1313_RS14695,4,flagellar hook protein FliD,,
Clo1313_1355,CLO1313_RS06865,4,MFS transporter,,['OOR3']
Clo1313_2617,CLO1313_RS13285,4,NAD(P)/FAD-dependent oxidoreductase,,"['HSEOR', 'HSOR', 'TRDR', 'MSOR']"
Clo1313_2463,CLO1313_RS12475,4,protein arginine kinase,,
Clo1313_0718,CLO1313_RS03715,4,glucose-1-phosphate adenylyltransferase subunit GlgD,,['GLGC']
Clo1313_1448,CLO1313_RS07325,4,RNA chaperone Hfq,,
Clo1313_1663,CLO1313_RS08400,4,serine/threonine-protein kinase,,['NICRNS']
Clo1313_0993,CLO1313_RS05070,4,phospho-sugar mutase,,"['PGCM', 'PMANM', 'PGMT', 'PPM']"
Clo1313_0284,CLO1313_RS01470,4,DUF4330 domain-containing protein,,
Clo1313_0182,CLO1313_RS00940,4,threonylcarbamoyl-AMP synthase,,
Clo1313_1217,CLO1313_RS06190,4,RIP metalloprotease RseP,,
Clo1313_2912,CLO1313_RS14800,4,carbon storage regulator,y,
Clo1313_1686,CLO1313_RS08515,4,acetyl-CoA synthetase,,"['PACPT', 'ACADCOAT', 'PPAKbad', 'ACADT', 'ACS']"
Clo1313_1945,CLO1313_RS09845,4,DUF815 domain-containing protein,,
Clo1313_0908,CLO1313_RS04650,4,adenine phosphoribosyltransferase,,"['ADPT', 'ADPT2', 'GPAR']"
Clo1313_2549,CLO1313_RS12945,4,S41 family peptidase,,
Clo1313_1659,CLO1313_RS08380,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_2095,CLO1313_RS10615,4,type I glyceraldehyde-3-phosphate dehydrogenase,,['GAPD']
Clo1313_1986,CLO1313_RS10045,4,copper amine oxidase,,
Clo1313_2758,CLO1313_RS14015,4,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,,
Clo1313_0105,CLO1313_RS00560,4,membrane protein,,
Clo1313_0549,CLO1313_RS02815,4,ABC transporter ATP-binding protein,,
Clo1313_1603,CLO1313_RS08090,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_1453,CLO1313_RS07350,4,30S ribosomal protein S16,,
Clo1313_1240,CLO1313_RS06290,4,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",,['UAAGDS']
Clo1313_2638,CLO1313_RS13390,4,peroxiredoxin,,
Clo1313_1076,CLO1313_RS05475,4,MoxR family ATPase,,
Clo1313_1119,CLO1313_RS05685,4,YgiQ family radical SAM protein,,['CPPPGO2']
Clo1313_1314,CLO1313_RS06665,4,protein translocase subunit SecD,,
Clo1313_3024,CLO1313_RS15385,4,DNA gyrase subunit A,,
Clo1313_0063,CLO1313_RS00335,4,electron transporter RnfG,,['RNF']
Clo1313_2213,,4,,,
Clo1313_1730,CLO1313_RS08750,4,chemotaxis protein CheA,y,
Clo1313_1513,CLO1313_RS07640,4,chorismate mutase,,['CHORM']
Clo1313_2906,CLO1313_RS14770,4,DUF115 domain-containing protein,,
Clo1313_2239,CLO1313_RS11380,4,deoxycytidine triphosphate deaminase,,"['DCTPD2', 'DCTPD']"
Clo1313_1954,CLO1313_RS09885,4,glycosyl transferase,,['CEPA']
Clo1313_0126,CLO1313_RS00665,4,sporulation protein,,
Clo1313_1617,CLO1313_RS08155,4,sodium:solute symporter,,
Clo1313_1618,CLO1313_RS08160,4,MBL fold hydrolase,,
Clo1313_0440,CLO1313_RS02220,4,anti-sigma regulatory factor,y,
Clo1313_1967,CLO1313_RS09950,4,gamma-glutamyl-phosphate reductase,,['G5SD']
Clo1313_1434,CLO1313_RS07255,4,isoleucine--tRNA ligase,,['ILETRS']
Clo1313_0865,CLO1313_RS04440,4,hypothetical protein,y,
Clo1313_0011,CLO1313_RS00060,4,serine--tRNA ligase,,"['SERTRS2', 'SERTRS']"
Clo1313_1590,CLO1313_RS08025,4,WXG100 family type VII secretion target,,
Clo1313_0305,CLO1313_RS01575,4,"acetolactate synthase, large subunit, biosynthetic type",,"['PDHam1hi', 'ACLS', 'APL', 'APLh', 'ACLS_DUPLICATE_ISOMER', 'ACAS_2ahbut']"
Clo1313_1467,CLO1313_RS07420,4,pyridoxal phosphate-dependent aminotransferase,,"['ASPTA', 'ALATA_L', 'TYRTA', 'AATC', 'EHGLAT', 'GLUDy', 'GLUS', 'CYSTA', '3SALATA', 'PHETA1']"
Clo1313_0078,CLO1313_RS00405,4,sugar ABC transporter ATP-binding protein,,['ILEt2r']
Clo1313_0914,CLO1313_RS04680,4,CpaF family protein,,
Clo1313_2728,CLO1313_RS13860,4,Asp23/Gls24 family protein,,
Clo1313_0911,CLO1313_RS04665,4,MBL fold metallo-hydrolase,,
Clo1313_1165,CLO1313_RS05915,4,rhomboid family intramembrane serine protease,,
Clo1313_0425,CLO1313_RS02145,4,imidazoleglycerol-phosphate dehydratase,,['IGPDH']
Clo1313_0648,CLO1313_RS03340,4,glycosyltransferase,,['DOLPMT']
Clo1313_1251,CLO1313_RS06355,4,cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase,,"['CYRDAAT', 'CBIAT']"
Clo1313_2940,CLO1313_RS14940,4,V-type ATP synthase alpha chain,,['ATPS']
Clo1313_0890,CLO1313_RS04560,4,LPS biosynthesis protein,,
Clo1313_1599,CLO1313_RS08070,4,CpaF family protein,,
Clo1313_1797,CLO1313_RS09090,4,aminoglycoside phosphotransferase,,
Clo1313_1027,CLO1313_RS05235,4,sporulation protein,,
Clo1313_1138,CLO1313_RS05780,4,DUF881 domain-containing protein,,
Clo1313_0021,CLO1313_RS00120,4,ferredoxin,,"['OBFOR', 'POR', 'NITROTOLDEG']"
Clo1313_1210,CLO1313_RS06155,4,elongation factor Ts,y,
Clo1313_0673,CLO1313_RS03485,4,pyruvate:ferredoxin (flavodoxin) oxidoreductase,,['POR']
Clo1313_1225,CLO1313_RS06225,4,translation initiation factor IF-2,y,
Clo1313_2457,CLO1313_RS12445,4,hypothetical protein,y,
Clo1313_0781,CLO1313_RS04015,4,hypothetical protein,y,
Clo1313_1073,CLO1313_RS05460,4,alpha/beta hydrolase,,"['HPHBHL', 'SMLSHL', 'EGMEST']"
Clo1313_0720,CLO1313_RS03725,4,enoyl-ACP reductase,,"['EAR80x', 'FASOD', 'EAR60x', 'HACPMCACT', 'EAR40x', 'EAR120x', 'EAR100x', 'EAR140x']"
Clo1313_2768,CLO1313_RS14065,4,copper amine oxidase,,
Clo1313_1828,CLO1313_RS09245,4,sugar ABC transporter substrate-binding protein,,"['CEL2abc', 'CEL3abc']"
Clo1313_0586,CLO1313_RS02985,4,3-phosphoglycerate dehydrogenase,,['PGLYDH']
Clo1313_2125,CLO1313_RS10775,4,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",,"['GTPCII2', 'DB4PS']"
Clo1313_0642,CLO1313_RS03285,4,disulfide oxidoreductase,,
Clo1313_1118,CLO1313_RS05680,4,DNA translocase FtsK,,
Clo1313_2069,CLO1313_RS10480,4,ribosome assembly RNA-binding protein YhbY,y,
Clo1313_0424,CLO1313_RS02140,4,histidinol-phosphate transaminase,,"['HSTPT', 'TYRTA', 'PHETA1']"
Clo1313_0475,CLO1313_RS02410,4,50S ribosomal protein L17,,
Clo1313_0780,CLO1313_RS04010,4,copper amine oxidase,,
Clo1313_1682,CLO1313_RS08495,4,peptidyl-prolyl cis-trans isomerase,,
Clo1313_2131,CLO1313_RS10805,4,hypothetical protein,y,
Clo1313_1658,CLO1313_RS08375,4,nitroreductase,,
Clo1313_1454,CLO1313_RS07355,4,hypothetical protein,y,
Clo1313_2078,CLO1313_RS10525,4,DUF3048 domain-containing protein,,
Clo1313_0511,CLO1313_RS02615,4,ABC transporter ATP-binding protein,,['FE3abc']
Clo1313_2276,CLO1313_RS11560,4,membrane protein,,
Clo1313_0389,CLO1313_RS01970,4,putative C-S lyase,,"['SELCYSTL', 'CYSDS', 'CYSTL', 'CTINBL']"
Clo1313_1218,CLO1313_RS06195,4,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,,['HMBDPO']
Clo1313_0175,CLO1313_RS00905,4,type III pantothenate kinase,,"['APCPT', 'APNPT', 'PNTK']"
Clo1313_2560,CLO1313_RS13000,4,carbamoyl-phosphate synthase large subunit,,['CBPS']
Clo1313_0994,CLO1313_RS05075,4,DNA polymerase III subunit alpha,,
Clo1313_0779,CLO1313_RS04005,4,copper amine oxidase,,
Clo1313_2559,CLO1313_RS12995,4,carbamoyl-phosphate synthase small subunit,,['CBPS']
Clo1313_2058,CLO1313_RS10425,4,polysaccharide deacetylase,,
Clo1313_2339,CLO1313_RS11870,4,nitrogenase iron protein,,"['NO2OR', 'ACTYOR']"
Clo1313_2215,CLO1313_RS11240,4,ferritin,,['FERO']
Clo1313_0931,CLO1313_RS04765,4,HrcA family transcriptional regulator,y,
Clo1313_2846,CLO1313_RS14455,4,hypothetical protein,y,
Clo1313_0304,CLO1313_RS01570,4,dihydroxy-acid dehydratase,,"['DHAD1_DUPLICATE_ISOMER', 'DHAD1', 'DHAD2m']"
Clo1313_1186,CLO1313_RS06035,4,acetate kinase,,"['ACKr', 'PPAK']"
Clo1313_1054,CLO1313_RS05365,4,stage V sporulation protein R,,
Clo1313_1449,CLO1313_RS07330,4,LexA repressor,,
Clo1313_0732,CLO1313_RS03790,4,Trk system potassium transporter TrkA,,
Clo1313_2017,CLO1313_RS10210,4,phenylalanine--tRNA ligase subunit beta,,['PHETRS']
Clo1313_1477,CLO1313_RS07470,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_2027,CLO1313_RS10265,4,ATP-dependent helicase,,
Clo1313_2762,CLO1313_RS14035,4,stage 0 sporulation protein,,
Clo1313_1195,CLO1313_RS06080,4,sugar ABC transporter permease,,
Clo1313_0421,CLO1313_RS02125,4,ATP phosphoribosyltransferase regulatory subunit,y,['ATPPRT']
Clo1313_1316,CLO1313_RS06675,4,3-methyl-2-oxobutanoate hydroxymethyltransferase,,['MOHMT']
Clo1313_1008,CLO1313_RS05140,4,5-(carboxyamino)imidazole ribonucleotide mutase,,"['AIRC3', 'PRAICL']"
Clo1313_2540,CLO1313_RS12875,4,copper-translocating P-type ATPase,,
Clo1313_0466,CLO1313_RS02365,4,adenylate kinase,,"['ADK1', 'DADK']"
Clo1313_2450,CLO1313_RS12410,4,amidohydrolase,,
Clo1313_1351,CLO1313_RS06845,4,hypothetical protein,y,
Clo1313_1493,CLO1313_RS07545,4,DUF4956 domain-containing protein,,
Clo1313_2537,CLO1313_RS12860,4,homoserine O-succinyltransferase,,['HSST']
Clo1313_0010,CLO1313_RS00055,4,hypothetical protein,y,
Clo1313_1859,CLO1313_RS09400,4,Lrp/AsnC family transcriptional regulator,y,
Clo1313_1685,CLO1313_RS08510,4,XRE family transcriptional regulator,y,
Clo1313_0698,CLO1313_RS03615,4,ABC transporter ATP-binding protein,,
Clo1313_0656,CLO1313_RS03380,4,7-cyano-7-deazaguanine synthase,,
Clo1313_0940,CLO1313_RS04810,4,DUF370 domain-containing protein,,
Clo1313_2338,CLO1313_RS11865,4,ABC transporter ATP-binding protein,,['SULabc']
Clo1313_0716,CLO1313_RS03705,4,peptidyl-prolyl cis-trans isomerase,,
Clo1313_0035,CLO1313_RS00185,4,GntR family transcriptional regulator,y,
Clo1313_1269,CLO1313_RS06445,4,dihydroorotate dehydrogenase electron transfer subunit,,
Clo1313_0482,CLO1313_RS02445,4,hypothetical protein,y,
Clo1313_0935,CLO1313_RS04785,4,50S ribosomal protein L11 methyltransferase,,
Clo1313_1056,CLO1313_RS05375,4,purine-nucleoside phosphorylase,,"['PNP', 'PUNP5', 'PUNP1', 'NP1', 'PUNP3', 'PUNP4', 'PUNP7', 'DURIPP', 'PUNP2', 'PUNP6']"
Clo1313_2176,CLO1313_RS11025,4,hypothetical protein,y,
Clo1313_1669,CLO1313_RS08430,4,methionyl-tRNA formyltransferase,,
Clo1313_2562,CLO1313_RS13010,4,N-acetyltransferase,,
Clo1313_0296,CLO1313_RS01530,4,transketolase,,"['TKT2', 'TKT1']"
Clo1313_1665,CLO1313_RS08410,4,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,,
