modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,UTUP,UTP:uridine 5'-phosphotransferase,uri_c + utp_c --> udp_c + ump_c,uri_c + utp_c --> h_c + udp_c + ump_c,{},CLO1313_RS09560,Clo1313_1891,Pyrimidine metabolism,2,,TRUE,"['udp_c', 'DUPLICATE_udp_c']",,,,0,1000,,"Clo1313_1891 codes for the same reacion associated with GTP, UTP, and ITP","{'EC NUMBER': ['2.7.1.48'], 'KEGG': ['R00967'], 'MXNREF': ['MNXR59210'], 'SEED': ['rxn00712']}"
,URIK2,Uridine kinase (GTP:Uridine),gtp_c + uri_c --> gdp_c + ump_c,gtp_c + uri_c --> gdp_c + h_c + ump_c,{},CLO1313_RS09560,Clo1313_1891,Pyrimidine metabolism,2,,TRUE,,,,,0,1000,,"Clo1313_1891 codes for the same reacion associated with GTP, UTP, and ITP","{'BIGG': ['URIK2'], 'EC NUMBER': ['2.7.1.48'], 'KEGG': ['R00968'], 'METACYC': ['URKI-RXN'], 'MXNREF': ['MNXR56043'], 'RHEA': ['27650, 27651, 27652, 27653'], 'SEED': ['rxn00713']}"
,URIK3,Uridine kinase (ITP:Uridine),itp_c + uri_c --> idp_c + ump_c,itp_c + uri_c --> h_c + idp_c + ump_c,{},CLO1313_RS09560,Clo1313_1891,Pyrimidine metabolism,2,,TRUE,,,,,0,1000,,"Clo1313_1891 codes for the same reacion associated with GTP, UTP, and ITP","{'BIGG': ['URIK3'], 'EC NUMBER': ['2.7.1.48'], 'KEGG': ['R00970'], 'MXNREF': ['MNXR56044'], 'SEED': ['rxn00715']}"
,ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,{},CLO1313_RS06820,Clo1313_1345,"Phenylalanine, tyrosine and tryptophan biosynthesis",2,,,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['ANS'], 'BIOCYC': ['ANTHRANSYN-RXN'], 'BIOPATH': ['RXN00551'], 'BRENDA': ['BR3373'], 'EC NUMBER': ['4.1.3.27'], 'KEGG': ['R00986'], 'METACYC': ['ANTHRANSYN-RXN'], 'MXNREF': ['MNXR32743'], 'RHEA': ['21732, 21733, 21734, 21735'], 'SEED': ['rxn00727']}"
,MMOR,Methylmalate oxidoreductase(NAD),nad_c + r3mmal_c --> 2obut_c + co2_c + h_c + nadh_c,nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c,{},CLO1313_RS14645,Clo1313_2882,"Valine, leucine and isoleucine biosynthesis",2,,,"['2obut_c', 'mmtsa_c']",,,,0,1000,,,"{'EC NUMBER': ['1.1.1.85'], 'KEGG': ['R00994'], 'MXNREF': ['MNXR14719'], 'RHEA': ['25771, 32715, 32716, 32717, 32718'], 'SEED': ['rxn00735'], 'UPA': ['UCR00994, UER00069']}"
,SHSL4,O-Succinyl-L-homoserine succinate-lyase (deaminating;2-oxobutanoate-forming),h2o_c + suchms_c --> 2obut_c + h_c + nh4_c + succ_c,h2o_c + suchms_c --> 2obut_c + h_c + nh4_c + succ_c,{},CLO1313_RS11800 or CLO1313_RS01965,Clo1313_2325 or Clo1313_0388,Cysteine and methionine metabolism,0,,TRUE,"['succ_c', 'mmal_c']",,,,0,1000,,,"{'EC NUMBER': ['2.5.1.48'], 'KEGG': ['R00999']}"
,2HBO,2 HydroxybutyrateNAD oxidoreductase,2hb_c + nad_c --> 2obut_c + h_c + nadh_c,2hb_c + nad_c --> 2obut_c + h_c + nadh_c,{},CLO1313_RS05890 or CLO1313_RS09495,Clo1313_1160 or Clo1313_1878,Propanoate metabolism,2,,TRUE,"['2obut_c', 'mmtsa_c']",,,,0,1000,,,"{'BIGG': ['2HBO'], 'BIOPATH': ['RXN01249'], 'EC NUMBER': ['1.1.1.27'], 'KEGG': ['R01000'], 'MXNREF': ['MNXR96'], 'SEED': ['rxn00741']}"
,CYSTGL,Cystathionine g lyase,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c,{},CLO1313_RS11800 or CLO1313_RS01965,Clo1313_2325 or Clo1313_0388,Cysteine Metabolism,1,,TRUE,"['2obut_c', 'mmtsa_c']",,,,0,1000,,,"{'EC NUMBER': ['4.4.1.1'], 'KEGG': ['R01001']}"
,DOLPMT,Dolichyl-phosphate beta-D-mannosyltransferase,docylp_c + gdpmann_c --> dolmanp_c + gdp_c,docylp_c + gdpmann_c --> dolmanp_c + gdp_c + 2.0 h_c,{},CLO1313_RS03325 or CLO1313_RS03340 or CLO1313_RS03350,Clo1313_0645 or Clo1313_0648 or Clo1313_0650,N-Glycan biosynthesis,0,,TRUE,,,,"['MET_ID:docylp_c, NOTE: generic']",0,1000,,,"{'EC NUMBER': ['2.4.1.83'], 'KEGG': ['R01009']}"
,TPI,Triose-phosphate isomerase,g3p_c <=> glyc1p_c,g3p_c <=> glyc1p_c,{},CLO1313_RS10605,Clo1313_2093,Glycolysis/Gluconeogenesis,4,,,"['dhap_c', 'g3p_c']",,,,-1000,1000,,,"{'BIOCYC': ['TRIOSEPISOMERIZATION-RXN'], 'BIOPATH': ['RXN01046'], 'BRENDA': ['BR219'], 'EC NUMBER': ['5.3.1.1'], 'IAT CORE': ['GG6r'], 'KEGG': ['R01015'], 'METACYC': ['TRIOSEPISOMERIZATION-RXN'], 'MXNREF': ['MNXR5115'], 'REACTOME': ['REACT_104480, REACT_104869, REACT_104997, REACT_105210, REACT_108615, REACT_111026, REACT_115710, REACT_116062, REACT_125759, REACT_131325, REACT_132371, REACT_133979, REACT_134746, REACT_142095, REACT_28554, REACT_28815, REACT_30724, REACT_31509, REACT_32420, REACT_469, REACT_76931, REACT_77133, REACT_775, REACT_78276, REACT_80367, REACT_80581, REACT_83352, REACT_83395, REACT_85037, REACT_85223, REACT_86707, REACT_90699, REACT_93692, REACT_94107, REACT_94116, REACT_95650, REACT_95863, REACT_95932, REACT_96037'], 'RHEA': ['18585, 18586, 18587, 18588']}"
,MGSA,Methylglyoxal synthase,glyc1p_c --> mthgxl_c + pi_c,glyc1p_c --> mthgxl_c + pi_c,{},CLO1313_RS10830,Clo1313_2136,Pyruvate metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['MGSA'], 'BIOCYC': ['METHGLYSYN-RXN'], 'BRENDA': ['BR16092'], 'EC NUMBER': ['4.2.3.3'], 'KEGG': ['R01016'], 'METACYC': ['METHGLYSYN-RXN'], 'MXNREF': ['MNXR3520'], 'RHEA': ['17937, 17938, 17939, 17940'], 'SEED': ['rxn00748']}"
,PRPPS,Phosphoribosylpyrophosphate synthetase,atp_c + r5p_c --> amp_c + h_c + prpp_c,atp_c + r5p_c --> amp_c + prpp_c,{},CLO1313_RS01115,Clo1313_0218,Pentose phosphate pathway,2,,,"['atp_c', 'dgtp_c']",,,"['MET_ID:r5p_c, NOTE: Present in iML, corresponds to Aplha isomer']",0,1000,,,"{'BIGG': ['PRPPS'], 'BIOCYC': ['PRPPSYN-RXN'], 'BIOPATH': ['RXN00113'], 'BRENDA': ['BR47854'], 'EC NUMBER': ['2.7.6.1'], 'KEGG': ['R01049'], 'METACYC': ['PRPPSYN-RXN'], 'MXNREF': ['MNXR55861'], 'SEED': ['rxn00770'], 'UPA': ['UCR01049, UER00172']}"
,ADPRDP,ADPribose diphosphatase,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,{},CLO1313_RS07815,Clo1313_1549,Purine metabolism,2,,TRUE,"['amp_c', 'dgmp_c']",,,"['MET_ID:r5p_c, NOTE: Present in iML, corresponds to Aplha isomer']",0,1000,,,"{'BIGG': ['ADPRDP, ADPRDPm'], 'BRENDA': ['BR22753'], 'EC NUMBER': ['3.6.1.13        3.6.1.21        3.6.1.-'], 'KEGG': ['R01054'], 'METACYC': ['RXN-9925, RXN0-1441'], 'MXNREF': ['MNXR54983'], 'SEED': ['rxn00775']}"
,RPI,Ribose-5-phosphate isomerase,r5p_c <=> ru5p__D_c,r5p_c <=> ru5p__D_c,{},CLO1313_RS00950,Clo1313_0184,Pentose phosphate pathway,4,,,"['r5p_c', 'ru5p__D_c', 'xu5p__D_c', 'r1p_c']",,,"['MET_ID:r5p_c, NOTE: Present in iML, corresponds to Aplha isomer']",-1000,1000,,,"{'BIGG': ['RPI'], 'BIOCYC': ['RIB5PISOM-RXN'], 'BIOPATH': ['RXN00196'], 'BRENDA': ['BR237'], 'EC NUMBER': ['5.3.1.6'], 'IAT CORE': ['PPP5r'], 'KEGG': ['R01056'], 'METACYC': ['RIB5PISOM-RXN'], 'MXNREF': ['MNXR55894'], 'SEED': ['rxn00777'], 'UPA': ['UCR01056, UER00412']}"
,PPM,Phosphopentomutase,r1p_c <=> r5p_c,r1p_c <=> r5p_c,{},CLO1313_RS05070 or CLO1313_RS07800,Clo1313_0993 or Clo1313_1546,Pentose phosphate pathway,2,,TRUE,"['r5p_c', 'ru5p__D_c', 'xu5p__D_c', 'r1p_c']",,,"['MET_ID:r5p_c, NOTE: Present in iML, corresponds to Aplha isomer']",-1000,1000,,,"{'BIGG': ['PPM'], 'BIOCYC': ['PPENTOMUT-RXN'], 'BRENDA': ['BR23'], 'EC NUMBER': ['5.4.2.2         5.4.2.7'], 'KEGG': ['R01057'], 'METACYC': ['PPENTOMUT-RXN'], 'MXNREF': ['MNXR55844'], 'SEED': ['rxn00778'], 'UPA': ['UCR01057, UER00173']}"
,GAPD,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,{},CLO1313_RS10615,Clo1313_2095,Glycolysis/Gluconeogenesis,4,,,"['dhap_c', 'g3p_c']",,,,-1000,1000,,,"{'BIOCYC': ['GAPOXNPHOSPHN-RXN'], 'BIOPATH': ['RXN01471'], 'BRENDA': ['BR1125_WOP, BS189083'], 'EC NUMBER': ['1.2.1.12        1.2.1.59'], 'IAT CORE': ['GG7r'], 'KEGG': ['R01061'], 'METACYC': ['GAPOXNPHOSPHN-RXN'], 'MXNREF': ['MNXR2549'], 'REACTOME': ['REACT_103017, REACT_103197, REACT_103214, REACT_104299, REACT_105091, REACT_107884, REACT_112690, REACT_113461, REACT_115700, REACT_115940, REACT_145152, REACT_145975, REACT_1593, REACT_159832, REACT_159936, REACT_1847, REACT_77359, REACT_77380, REACT_83464, REACT_85937, REACT_87656, REACT_89732, REACT_95562, REACT_98283, REACT_99793'], 'RHEA': ['10300, 10301, 10302, 10303']}"
,DRPA,Deoxyribose-phosphate aldolase,2dr5p_c --> acald_c + g3p_c,2dr5p_c --> acald_c + g3p_c,{},CLO1313_RS11920 or CLO1313_RS13275 or CLO1313_RS13340,Clo1313_2349 or Clo1313_2615 or Clo1313_2627,Pentose phosphate pathway,2,,TRUE,"['dhap_c', 'g3p_c']",,,,0,1000,,It was set to 0 in iAT601,"{'BIOCYC': ['DEOXYRIBOSE-P-ALD-RXN'], 'BRENDA': ['BR371'], 'EC NUMBER': ['4.1.2.4'], 'KEGG': ['R01066'], 'METACYC': ['DEOXYRIBOSE-P-ALD-RXN'], 'MXNREF': ['MNXR1794']}"
,TGBPA,Tagatose-bisphosphate aldolase,tagdp__D_c --> g3p_c + glyc1p_c,tagdp__D_c --> g3p_c + glyc1p_c,{},CLO1313_RS09480,Clo1313_1875,Galactose metabolism,0,,TRUE,"['dhap_c', 'g3p_c']",,,,0,1000,,,"{'EC NUMBER': ['4.1.2.40'], 'KEGG': ['R01069']}"
,ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,atp_c + prpp_c --> ppi_c + prbatp_c,{},CLO1313_RS02125 or CLO1313_RS02130,Clo1313_0421 or Clo1313_0422,Histidine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ATPPRT, ATPPRTr'], 'BIOCYC': ['ATPPHOSPHORIBOSYLTRANS-RXN'], 'BIOPATH': ['RXN00983'], 'EC NUMBER': ['2.4.2.17'], 'KEGG': ['R01071'], 'METACYC': ['ATPPHOSPHORIBOSYLTRANS-RXN'], 'MXNREF': ['MNXR55088'], 'RHEA': ['18473, 18474, 18475, 18476'], 'SEED': ['rxn00789'], 'UPA': ['UCR01071, UER00006']}"
,GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,gln__L_c + h2o_c + prpp_c --> glu__L_c + h_c + ppi_c + pram_c,{},CLO1313_RS05145,Clo1313_1009,Purine metabolism,2,,,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['GLUPRT'], 'BIOCYC': ['PRPPAMIDOTRANS-RXN'], 'BIOPATH': ['RXN01011'], 'BRENDA': ['BR44270'], 'EC NUMBER': ['2.4.2.14'], 'KEGG': ['R01072'], 'METACYC': ['PRPPAMIDOTRANS-RXN'], 'MXNREF': ['MNXR55597'], 'REACTOME': ['REACT_102786, REACT_103149, REACT_106474, REACT_116094, REACT_30841, REACT_32820, REACT_33476, REACT_34004, REACT_740, REACT_76986, REACT_78155, REACT_78877, REACT_80319, REACT_82816, REACT_84289, REACT_90579, REACT_91779, REACT_94540, REACT_95631, REACT_98124, REACT_99042'], 'RHEA': ['14905, 14906, 14907, 14908'], 'SEED': ['rxn00790'], 'UPA': ['UCR01072, UER00124']}"
,ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,anth_c + prpp_c --> h_c + ppi_c + pran_c,{},CLO1313_RS06825,Clo1313_1346,"Phenylalanine, tyrosine and tryptophan biosynthesis",2,,,"['anth_c', '4abz_c']",,,,0,1000,,,"{'BIGG': ['ANPRT'], 'BIOCYC': ['PRTRANS-RXN'], 'BIOPATH': ['RXN00320'], 'BRENDA': ['BR47560'], 'EC NUMBER': ['2.4.2.18'], 'KEGG': ['R01073'], 'METACYC': ['PRTRANS-RXN'], 'MXNREF': ['MNXR55047'], 'RHEA': ['11768, 11769, 11770, 11771'], 'SEED': ['rxn00791'], 'UPA': ['UCR01073, UER00041']}"
,BACCL,Biotin acetyl CoA carboxylase ligase,atp_c + btn_c --> btamp_c + ppi_c,atp_c + btn_c + h_c --> btamp_c + ppi_c,{},CLO1313_RS00890,Clo1313_0172,Biotin metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['BACCL, BACCLm'], 'BRENDA': ['BS398826'], 'EC NUMBER': ['6.2.1.11        6.3.4.9         6.3.4.10        6.3.4.11        6.3.4.15'], 'KEGG': ['R01074'], 'MXNREF': ['MNXR934'], 'RHEA': ['31115, 31116, 31117, 31118'], 'SEED': ['rxn00792']}"
delte:generic_metabolites,DBST,Dethiobiotin sulfurtransferase,2.0 amet_c + dtbt_c + 2.0 electron_c + 2.0 h_c + sulfur_donor_c --> btn_c + 2.0 dad_5_c + 2.0 met__L_c,2.0 amet_c + dtbt_c + 2.0 electron_c + 2.0 h_c + sulfur_donor_c --> btn_c + 2.0 dad_5_c + 2.0 met__L_c,"{'charge': -2.0, 'H': -2.0, 'S': 1.0}",CLO1313_RS11220 or CLO1313_RS12830,Clo1313_2212 or Clo1313_2531,Biotin metabolism,2,,TRUE,"['dad_2_c', 'dad_5_c']",,,"['MET_ID:electron_c, NOTE: review', 'MET_ID:sulfur_donor_c, NOTE: review']",0,1000,,gpr seems to not have anything to do with he reaction,"{'EC NUMBER': ['2.8.1.6'], 'KEGG': ['R01078']}"
,FUM,Fumarase,mal__L_c <=> fum_c + h2o_c,mal__L_c <=> fum_c + h2o_c,{},CLO1313_RS03275 or CLO1313_RS03280,Clo1313_0640 or Clo1313_0641,Citrate cycle (TCA cycle),2,,,,,,,-1000,1000,,,"{'BIGG': ['FUM, FUMm'], 'BIOCYC': ['FUMHYDR-RXN'], 'BIOPATH': ['RXN00540'], 'BRENDA': ['BR3389'], 'EC NUMBER': ['4.2.1.2'], 'KEGG': ['R01082'], 'METACYC': ['FUMHYDR-RXN'], 'MXNREF': ['MNXR2338'], 'REACTOME': ['REACT_100573, REACT_102283, REACT_102637, REACT_104675, REACT_109085, REACT_110563, REACT_110921, REACT_115295, REACT_115714, REACT_115901, REACT_127489, REACT_128224, REACT_134592, REACT_136902, REACT_137035, REACT_138081, REACT_138869, REACT_139767, REACT_141016, REACT_141512, REACT_142999, REACT_144781, REACT_144889, REACT_146907, REACT_154190, REACT_156664, REACT_1656, REACT_21360, REACT_33209, REACT_77316, REACT_82398, REACT_82795, REACT_83222, REACT_84039, REACT_88515, REACT_89862, REACT_90400, REACT_93953, REACT_94620, REACT_96178'], 'RHEA': ['12460, 12461, 12462, 12463'], 'SEED': ['rxn00799'], 'UPA': ['UCR01082, UER01007']}"
,ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,dcamp_c <=> amp_c + fum_c,{},CLO1313_RS07490,Clo1313_1481,Purine metabolism,2,,,"['amp_c', 'dgmp_c']",,,,-1000,1000,,,"{'BIGG': ['ADSL1, ADSL1r'], 'BIOCYC': ['AMPSYN-RXN'], 'BIOPATH': ['RXN00398'], 'BRENDA': ['BR3432'], 'EC NUMBER': ['4.3.2.2'], 'KEGG': ['R01083'], 'METACYC': ['AMPSYN-RXN'], 'MXNREF': ['MNXR514'], 'REACTOME': ['REACT_101613, REACT_101814, REACT_1042, REACT_106004, REACT_115559, REACT_28392, REACT_29974, REACT_80585, REACT_81311, REACT_84337, REACT_87024, REACT_88636, REACT_89158, REACT_95492, REACT_96413, REACT_99110'], 'RHEA': ['16853, 16854, 16855, 16856'], 'SEED': ['rxn00800'], 'UPA': ['UCR01083, UER00336']}"
,ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,argsuc_c <=> arg__L_c + fum_c,{},CLO1313_RS10410,Clo1313_2055,"Alanine, aspartate and glutamate metabolism",2,,,,,,,-1000,1000,,,"{'BIGG': ['ARGSL'], 'BIOCYC': ['ARGSUCCINLYA-RXN'], 'BIOPATH': ['RXN00832'], 'BRENDA': ['BR3431'], 'EC NUMBER': ['4.3.2.1'], 'KEGG': ['R01086'], 'METACYC': ['ARGSUCCINLYA-RXN'], 'MXNREF': ['MNXR782'], 'REACTOME': ['REACT_107201, REACT_107341, REACT_107497, REACT_108281, REACT_110613, REACT_113182, REACT_114192, REACT_114884, REACT_115252, REACT_1378, REACT_79360, REACT_79752, REACT_83325, REACT_90867, REACT_92799, REACT_94002, REACT_98490, REACT_98521'], 'RHEA': ['24020, 24021, 24022, 24023'], 'SEED': ['rxn00802'], 'UPA': ['UCR01086, UER00114, UER00273']}"
,LEUTA,Leucine transaminase,4mop_c + glu__L_c --> akg_c + leu__L_c,4mop_c + glu__L_c --> akg_c + leu__L_c,{},CLO1313_RS06910,Clo1313_1364,"Valine, leucine and isoleucine degradation",2,,,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['LEUTA, LEUTAi, LEUTAm'], 'BIOCYC': ['BRANCHED-CHAINAMINOTRANSFERLEU-RXN'], 'BRENDA': ['BR47691'], 'EC NUMBER': ['2.6.1.6         2.6.1.42        2.6.1.67'], 'KEGG': ['R01090'], 'METACYC': ['BRANCHED-CHAINAMINOTRANSFERLEU-RXN, LEUCINE-AMINOTRANSFERASE-RXN'], 'MXNREF': ['MNXR31792'], 'RHEA': ['18321, 18322, 18323, 18324'], 'SEED': ['rxn00806'], 'UPA': ['UCR01090, UER00073, UER00857']}"
,ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,acnam_c + ctp_c --> cmpacna_c + ppi_c,acnam_c + ctp_c --> cmpacna_c + ppi_c,{},CLO1313_RS01160,Clo1313_0228,Amino sugar and nucleotide sugar metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['CMPSAS, CMPSASn'], 'BIOCYC': ['RXN-9990'], 'EC NUMBER': ['2.7.7.43'], 'KEGG': ['R01117'], 'MXNREF': ['MNXR1223'], 'SEED': ['rxn00827']}"
,IPDPTA,delta2-isopentenyl-diphosphate:tRNA isopentenyltransferase,dmpp_c + trna_c <=> 6ipadtrna_c + ppi_c,dmpp_c + trna_c <=> 6ipadtrna_c + ppi_c,{},CLO1313_RS07320,Clo1313_1447,Zeatin biosynthesis,2,,TRUE,"['ipdp_c', 'dmpp_c']",,,"['MET_ID:trna_c, NOTE: generic:trna', 'MET_ID:6ipadtrna_c, NOTE: generic:trna']",-1000,1000,,,"{'BIOCYC': ['RXN0-6274'], 'EC NUMBER': ['2.5.1.75'], 'KEGG': ['R01122'], 'MXNREF': ['MNXR59223'], 'SEED': ['rxn14073']}"
,NTD11,5'-nucleotidase (IMP),h2o_c + imp_c --> ins_c + pi_c,h2o_c + imp_c --> ins_c + pi_c,{},CLO1313_RS15375,Clo1313_3022,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['NTD11, NTD11pp'], 'BIOCYC': ['RXN-7607'], 'BIOPATH': ['RXN00833'], 'BRENDA': ['BS64634'], 'EC NUMBER': ['3.1.3.5'], 'KEGG': ['R01126'], 'METACYC': ['RXN-7607'], 'MXNREF': ['MNXR3873'], 'REACTOME': ['REACT_115780'], 'RHEA': ['27718, 27719, 27720, 27721'], 'SEED': ['rxn00831']}"
,IMPC,IMP cyclohydrolase,h2o_c + imp_c <=> fprica_c,h2o_c + imp_c <=> fprica_c,{},CLO1313_RS05160,Clo1313_1012,Purine metabolism,2,,,,,,,-1000,1000,,,"{'BIGG': ['IMPC'], 'BIOCYC': ['IMPCYCLOHYDROLASE-RXN'], 'BIOPATH': ['RXN00218'], 'BRENDA': ['BR19263'], 'EC NUMBER': ['2.1.2.3         3.5.4.10'], 'KEGG': ['R01127'], 'METACYC': ['IMPCYCLOHYDROLASE-RXN'], 'MXNREF': ['MNXR3099'], 'REACTOME': ['REACT_100264, REACT_101327, REACT_101441, REACT_105279, REACT_107619, REACT_110740, REACT_116131, REACT_118073, REACT_263, REACT_29038, REACT_29689, REACT_30737, REACT_79659, REACT_80364, REACT_80795, REACT_80881, REACT_83814, REACT_86743, REACT_93074, REACT_94292, REACT_98029'], 'RHEA': ['18445, 18446, 18447, 18448'], 'SEED': ['rxn00832'], 'UPA': ['UCR01127, UER00135']}"
,IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c <=> h_c + nadh_c + xmp_c,h2o_c + imp_c + nad_c <=> h_c + nadh_c + xmp_c,{},CLO1313_RS07780,Clo1313_1542,Purine metabolism,2,,,,,,,-1000,1000,,,"{'BIGG': ['IMPD'], 'BIOCYC': ['IMP-DEHYDROG-RXN'], 'BIOPATH': ['RXN00783'], 'BRENDA': ['BR33666, BS230582'], 'EC NUMBER': ['1.1.1.205'], 'METACYC': ['IMP-DEHYDROG-RXN'], 'MXNREF': ['MNXR3100'], 'REACTOME': ['REACT_102501, REACT_116090, REACT_118189, REACT_1488, REACT_30232, REACT_31646, REACT_32201, REACT_33579, REACT_33597, REACT_33701, REACT_34752, REACT_77612, REACT_79622, REACT_80105, REACT_88830, REACT_94662, REACT_96045, REACT_96945, REACT_97319, REACT_98553'], 'RHEA': ['11708, 11709, 11710, 11711'], 'SEED': ['rxn00834'], 'UPA': ['UCR01130, UER00295']}"
,ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,{},CLO1313_RS03290,Clo1313_0643,Purine metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['ADSS'], 'BIOCYC': ['ADENYLOSUCCINATE-SYNTHASE-RXN'], 'BIOPATH': ['RXN01479'], 'BRENDA': ['BR141'], 'EC NUMBER': ['6.3.4.4'], 'KEGG': ['R01135'], 'METACYC': ['ADENYLOSUCCINATE-SYNTHASE-RXN'], 'MXNREF': ['MNXR54990'], 'REACTOME': ['REACT_101481, REACT_102582, REACT_106345, REACT_106893, REACT_108314, REACT_110567, REACT_110657, REACT_115645, REACT_1719, REACT_2217, REACT_28640, REACT_34115, REACT_77813, REACT_80422, REACT_81912, REACT_86165, REACT_92014, REACT_97311, REACT_98715, REACT_99255, REACT_99701'], 'RHEA': ['15753, 15754, 15755, 15756'], 'SEED': ['rxn00838'], 'UPA': ['UCR01135, UER00335']}"
,NDPK8,Nucleoside-diphosphate kinase,atp_c + dadp_c --> adp_c + datp_c,atp_c + dadp_c --> adp_c + datp_c,{},CLO1313_RS07615,Clo1313_1508,Purine metabolism,2,"['NDPK1', 'CYTDK2', 'NDPK8', 'DATCY', 'H2ASE_syn']",,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['NDPK8, NDPK8m, NDPK8n'], 'BIOCYC': ['DADPKIN-RXN'], 'BIOPATH': ['RXN01492'], 'EC NUMBER': ['2.7.4.6'], 'KEGG': ['R01137'], 'METACYC': ['DADPKIN-RXN'], 'MXNREF': ['MNXR55765'], 'RHEA': ['27674, 27675, 27676, 27677'], 'SEED': ['rxn00839']}"
,ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,{},CLO1313_RS13250,Clo1313_2609,D-Alanine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ALAALAr'], 'BIOCYC': ['DALADALALIG-RXN'], 'BRENDA': ['BR120'], 'EC NUMBER': ['6.3.2.4'], 'KEGG': ['R01150'], 'METACYC': ['DALADALALIG-RXN'], 'MXNREF': ['MNXR614'], 'RHEA': ['11224, 11225, 11226, 11227'], 'SEED': ['rxn00851']}"
,AGMT,Agmatinase,agm_c + h2o_c --> ptrc_c + urea_c,agm_c + h2o_c --> ptrc_c + urea_c,{},CLO1313_RS07715,Clo1313_1529,Arginine and proline metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['AGMT, AGMTm'], 'BIOCYC': ['AGMATIN-RXN'], 'BIOPATH': ['RXN00171'], 'BRENDA': ['BR26108'], 'EC NUMBER': ['3.5.3.11'], 'KEGG': ['R01157'], 'METACYC': ['AGMATIN-RXN'], 'MXNREF': ['MNXR558'], 'REACTOME': ['REACT_103984, REACT_108092, REACT_14815, REACT_154706, REACT_154937, REACT_158198, REACT_77801, REACT_78329, REACT_81086, REACT_82589, REACT_95165, REACT_95304, REACT_99744'], 'RHEA': ['13929, 13930, 13931, 13932'], 'SEED': ['rxn00858'], 'UPA': ['UCR01157, UER00287']}"
,LHOR,L-histidinal:NAD+ oxidoreductase,h2o_c + histda_c + nad_c --> h_c + his__L_c + nadh_c,h2o_c + histda_c + nad_c --> 2.0 h_c + his__L_c + nadh_c,{},CLO1313_RS02135,Clo1313_0423,Histidine metabolism,2,,,,,,,0,1000,,,"{'BIOCYC': ['RXN-8001'], 'EC NUMBER': ['1.1.1.23'], 'KEGG': ['R01163'], 'METACYC': ['HISTALDEHYD-RXN'], 'MXNREF': ['MNXR59227'], 'RHEA': ['33803, 33804, 33805, 33806'], 'SEED': ['rxn00863, rxn05934']}"
