locus_tag,old_locus_tag,gene,product
CLO1313_RS02055,Clo1313_0407,,chemotaxis protein
CLO1313_RS02060,Clo1313_0408,,chemotaxis protein CheR
CLO1313_RS02065,Clo1313_0409,,chemotaxis response regulator protein-glutamate methylesterase
CLO1313_RS02070,Clo1313_0410,,gfo/Idh/MocA family oxidoreductase
CLO1313_RS02075,Clo1313_0411,,HlyC/CorC family transporter
CLO1313_RS02080,Clo1313_0412,,TipAS antibiotic-recognition domain protein
CLO1313_RS02085,Clo1313_0413,,endoglucanase
CLO1313_RS02090,Clo1313_0414,,DUF3592 domain-containing protein
CLO1313_RS02095,Clo1313_0415,,phosphoenolpyruvate carboxykinase (GTP)
CLO1313_RS02100,Clo1313_0416,raiA,ribosome-associated translation inhibitor RaiA
CLO1313_RS02105,Clo1313_0417,pcrA,DNA helicase PcrA
CLO1313_RS02110,Clo1313_0418,,hypothetical protein
CLO1313_RS02115,Clo1313_0419,,peptidase C39
CLO1313_RS02120,Clo1313_0420,,dockerin
CLO1313_RS02125,Clo1313_0421,hisZ,ATP phosphoribosyltransferase regulatory subunit
CLO1313_RS02130,Clo1313_0422,,ATP phosphoribosyltransferase
CLO1313_RS02135,Clo1313_0423,hisD,histidinol dehydrogenase
CLO1313_RS02140,Clo1313_0424,hisC,histidinol-phosphate transaminase
CLO1313_RS02145,Clo1313_0425,,imidazoleglycerol-phosphate dehydratase
CLO1313_RS02150,Clo1313_0426,,phosphoribosylaminoimidazolesuccinocarboxamide synthase
CLO1313_RS02155,Clo1313_0427,hisH,imidazole glycerol phosphate synthase subunit HisH
CLO1313_RS02160,Clo1313_0428,hisA,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase
CLO1313_RS02165,Clo1313_0429,,imidazole glycerol phosphate synthase cyclase subunit
CLO1313_RS02170,Clo1313_0430,,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
CLO1313_RS02175,Clo1313_0431,,transcriptional regulator
CLO1313_RS02180,Clo1313_0432,,molecular chaperone GroES
CLO1313_RS02185,Clo1313_0433,groL,molecular chaperone GroEL
CLO1313_RS02190,Clo1313_0434,,histidine kinase
CLO1313_RS02195,Clo1313_0435,,hypothetical protein
CLO1313_RS02200,Clo1313_0436,,glycoside hydrolase
CLO1313_RS02205,Clo1313_0437,,hypothetical protein
CLO1313_RS02210,Clo1313_0438,,transcription elongation factor GreA
CLO1313_RS02215,Clo1313_0439,,anti-sigma factor antagonist
CLO1313_RS02220,Clo1313_0440,,anti-sigma regulatory factor
CLO1313_RS02225,Clo1313_0441,,SigB/SigF/SigG family RNA polymerase sigma factor
CLO1313_RS02230,Clo1313_0442,,ATP-binding protein
CLO1313_RS02255,Clo1313_0444,,30S ribosomal protein S10
CLO1313_RS02260,Clo1313_0445,,50S ribosomal protein L3
CLO1313_RS02265,Clo1313_0446,,50S ribosomal protein L4
CLO1313_RS02270,Clo1313_0447,,50S ribosomal protein L23
CLO1313_RS02275,Clo1313_0448,,50S ribosomal protein L2
CLO1313_RS02280,Clo1313_0449,,30S ribosomal protein S19
CLO1313_RS02285,Clo1313_0450,,50S ribosomal protein L22
CLO1313_RS02290,Clo1313_0451,,30S ribosomal protein S3
CLO1313_RS02295,Clo1313_0452,,50S ribosomal protein L16
CLO1313_RS02300,Clo1313_0453,,50S ribosomal protein L29
CLO1313_RS02305,Clo1313_0454,,30S ribosomal protein S17
CLO1313_RS02310,Clo1313_0455,,50S ribosomal protein L14
CLO1313_RS02315,Clo1313_0456,,50S ribosomal protein L24
CLO1313_RS02320,Clo1313_0457,,50S ribosomal protein L5
CLO1313_RS02325,Clo1313_0458,,30S ribosomal protein S14 type Z
CLO1313_RS02330,Clo1313_0459,,30S ribosomal protein S8
CLO1313_RS02335,Clo1313_0460,,50S ribosomal protein L6
CLO1313_RS02340,Clo1313_0461,,50S ribosomal protein L18
CLO1313_RS02345,Clo1313_0462,,30S ribosomal protein S5
CLO1313_RS02350,Clo1313_0463,,50S ribosomal protein L30
CLO1313_RS02355,Clo1313_0464,,50S ribosomal protein L15
CLO1313_RS02360,Clo1313_0465,,preprotein translocase subunit SecY
CLO1313_RS02365,Clo1313_0466,,adenylate kinase
CLO1313_RS02370,Clo1313_0467,map,type I methionyl aminopeptidase
CLO1313_RS02375,Clo1313_0468,,RNA-binding protein
CLO1313_RS02380,Clo1313_0469,,translation initiation factor IF-1
CLO1313_RS02385,Clo1313_0470,,50S ribosomal protein L36
CLO1313_RS02390,Clo1313_0471,,30S ribosomal protein S13
CLO1313_RS02395,Clo1313_0472,,30S ribosomal protein S11
CLO1313_RS02400,Clo1313_0473,,30S ribosomal protein S4
CLO1313_RS02405,Clo1313_0474,,DNA-directed RNA polymerase subunit alpha
CLO1313_RS02410,Clo1313_0475,,50S ribosomal protein L17
CLO1313_RS02415,Clo1313_0476,,energy-coupling factor transporter ATPase
CLO1313_RS02420,Clo1313_0477,,class I SAM-dependent methyltransferase
CLO1313_RS02425,Clo1313_0478,,type III restriction endonuclease subunit R
CLO1313_RS02430,Clo1313_0479,,EVE domain-containing protein
CLO1313_RS02435,Clo1313_0480,,site-specific DNA-methyltransferase
CLO1313_RS02440,Clo1313_0481,,hypothetical protein
CLO1313_RS02445,Clo1313_0482,,hypothetical protein
CLO1313_RS02450,Clo1313_0483,,hypothetical protein
CLO1313_RS02455,Clo1313_0484,,hypothetical protein
CLO1313_RS02460,Clo1313_0485,,copper amine oxidase
CLO1313_RS02465,Clo1313_0486,,recombinase family protein
CLO1313_RS02470,Clo1313_0487,,energy-coupling factor transporter ATPase
CLO1313_RS02475,Clo1313_0488,,energy-coupling factor transporter transmembrane protein EcfT
CLO1313_RS02480,Clo1313_0489,,glucokinase
CLO1313_RS02485,Clo1313_0490,,tRNA pseudouridine(38-40) synthase TruA
CLO1313_RS02490,Clo1313_0491,,CarD family transcriptional regulator
CLO1313_RS02495,Clo1313_0492,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CLO1313_RS02500,Clo1313_0493,,ABC transporter
CLO1313_RS02505,Clo1313_0494,,ABC transporter permease
CLO1313_RS02510,Clo1313_0495,,two-component sensor histidine kinase
CLO1313_RS02515,Clo1313_0496,,ATP-binding protein
CLO1313_RS02520,Clo1313_0497,,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
CLO1313_RS02525,Clo1313_0498,,proline--tRNA ligase
CLO1313_RS02530,Clo1313_0499,,hypothetical protein
CLO1313_RS02535,Clo1313_0500,,pectinesterase
CLO1313_RS02540,Clo1313_0501,,pectate lyase
CLO1313_RS02545,,,hypothetical protein
CLO1313_RS02550,Clo1313_0503,,ATP-binding protein
CLO1313_RS02560,,,hypothetical protein
CLO1313_RS02565,,,hypothetical protein
CLO1313_RS02570,Clo1313_0505,,hypothetical protein
CLO1313_RS02575,,,ISL3 family transposase
CLO1313_RS02585,,,IS3 family transposase
CLO1313_RS02590,,,hypothetical protein
CLO1313_RS02595,,,IS3 family transposase
CLO1313_RS02605,Clo1313_0509,,hypothetical protein
CLO1313_RS02610,Clo1313_0510,,peptide ABC transporter substrate-binding protein
CLO1313_RS02615,Clo1313_0511,,ABC transporter ATP-binding protein
CLO1313_RS02620,Clo1313_0512,,ABC transporter ATP-binding protein
CLO1313_RS02625,Clo1313_0513,,ABC transporter permease
CLO1313_RS02630,Clo1313_0514,,ABC transporter permease
CLO1313_RS02635,Clo1313_0515,,copper amine oxidase
CLO1313_RS02640,Clo1313_0516,,MFS transporter
CLO1313_RS02645,Clo1313_0517,,4Fe-4S ferredoxin
CLO1313_RS02650,Clo1313_0518,,GntR family transcriptional regulator
CLO1313_RS02655,Clo1313_0519,,ABC transporter ATP-binding protein
CLO1313_RS02660,Clo1313_0520,,ABC-2 transporter permease
CLO1313_RS02665,Clo1313_0521,,glycoside hydrolase
CLO1313_RS02670,Clo1313_0522,,"endo-1,4-beta-xylanase"
CLO1313_RS02675,Clo1313_0523,sfsA,sugar fermentation stimulation protein SfsA
CLO1313_RS02680,Clo1313_0524,,hypothetical protein
CLO1313_RS02685,Clo1313_0525,sigI,RNA polymerase sigma factor SigI
CLO1313_RS02690,,,hypothetical protein
CLO1313_RS02695,Clo1313_0526,,hypothetical protein
CLO1313_RS02700,Clo1313_0527,,Crp/Fnr family transcriptional regulator
CLO1313_RS02705,Clo1313_0528,,4Fe-4S ferredoxin
CLO1313_RS02710,Clo1313_0529,,4Fe-4S binding protein
CLO1313_RS02715,Clo1313_0530,,ECF transporter S component
CLO1313_RS02720,Clo1313_0531,,ABC transporter substrate-binding protein
CLO1313_RS02725,Clo1313_0532,,methyl-accepting chemotaxis protein
CLO1313_RS02730,,,multidrug ABC transporter ATP-binding protein
CLO1313_RS02735,,,hypothetical protein
CLO1313_RS02740,Clo1313_0534,,hypothetical protein
CLO1313_RS02745,Clo1313_0535,,hypothetical protein
CLO1313_RS02750,Clo1313_0536,,hypothetical protein
CLO1313_RS02755,Clo1313_0537,,hypothetical protein
CLO1313_RS02760,Clo1313_0538,,hypothetical protein
CLO1313_RS02765,Clo1313_0539,,glycosyl transferase
CLO1313_RS02770,Clo1313_0540,,hypothetical protein
CLO1313_RS02775,Clo1313_0541,msrA,peptide-methionine (S)-S-oxide reductase
CLO1313_RS02780,Clo1313_0542,,NADH:flavin oxidoreductase
CLO1313_RS02785,Clo1313_0543,,RNA polymerase sigma factor
CLO1313_RS02790,Clo1313_0544,,hypothetical protein
CLO1313_RS02795,Clo1313_0545,,hypothetical protein
CLO1313_RS02800,Clo1313_0546,,hypothetical protein
CLO1313_RS02805,Clo1313_0547,,protease
CLO1313_RS02810,Clo1313_0548,,hypothetical protein
CLO1313_RS02815,Clo1313_0549,,ABC transporter ATP-binding protein
CLO1313_RS02820,Clo1313_0550,,N-acetyltransferase
CLO1313_RS02825,Clo1313_0551,,inorganic phosphate transporter
CLO1313_RS02830,Clo1313_0552,,DUF47 domain-containing protein
CLO1313_RS02835,Clo1313_0553,,hypothetical protein
CLO1313_RS02840,Clo1313_0554,,hydrogenase
CLO1313_RS02845,Clo1313_0555,,LysM peptidoglycan-binding domain-containing protein
CLO1313_RS15530,Clo1313_0556,,peptidoglycan-binding protein LysM
CLO1313_RS02855,Clo1313_0557,,hypothetical protein
CLO1313_RS02860,Clo1313_0558,,superoxide dismutase
CLO1313_RS02865,Clo1313_0559,,hypothetical protein
CLO1313_RS02870,,,hypothetical protein
CLO1313_RS02875,Clo1313_0562,,hypothetical protein
CLO1313_RS02880,Clo1313_0563,,carbohydrate-binding protein
CLO1313_RS02885,Clo1313_0564,hypE,hydrogenase expression/formation protein HypE
CLO1313_RS02890,Clo1313_0565,,hydrogenase formation protein HypD
CLO1313_RS02895,Clo1313_0566,hypC,HypC/HybG/HupF family hydrogenase formation chaperone
CLO1313_RS02900,Clo1313_0567,hypF,carbamoyltransferase HypF
CLO1313_RS02905,Clo1313_0568,hypB,hydrogenase accessory protein HypB
CLO1313_RS02910,Clo1313_0569,hypA,hydrogenase maturation nickel metallochaperone HypA
CLO1313_RS15535,Clo1313_0570,,4Fe-4S dicluster domain-containing protein
CLO1313_RS02915,Clo1313_0571,,NADH dehydrogenase subunit D
CLO1313_RS02920,Clo1313_0572,,ech hydrogenase subunit EchD
CLO1313_RS02925,Clo1313_0573,,NADH-quinone oxidoreductase subunit NuoB
CLO1313_RS02930,Clo1313_0574,,NADH dehydrogenase subunit 1
CLO1313_RS02935,Clo1313_0575,,NADH/Ubiquinone/plastoquinone (complex I)
CLO1313_RS02940,Clo1313_0577,,elongation factor GreAB
CLO1313_RS02945,Clo1313_0578,,citrate/2-methylcitrate synthase
CLO1313_RS02950,Clo1313_0579,,histidine decarboxylase
CLO1313_RS02955,Clo1313_0580,,chemotaxis protein CheW
CLO1313_RS02960,Clo1313_0581,,chemotaxis protein
CLO1313_RS15540,Clo1313_0582,,hypothetical protein
CLO1313_RS02970,Clo1313_0583,,DUF4190 domain-containing protein
CLO1313_RS02975,Clo1313_0584,,DUF4190 domain-containing protein
CLO1313_RS02980,Clo1313_0585,,DUF2752 domain-containing protein
CLO1313_RS02985,Clo1313_0586,,3-phosphoglycerate dehydrogenase
CLO1313_RS02990,Clo1313_0587,,methyl-accepting chemotaxis protein
CLO1313_RS02995,Clo1313_0588,,nitroreductase
CLO1313_RS03000,Clo1313_0589,,copper amine oxidase
CLO1313_RS03005,Clo1313_0590,,DNA translocase FtsK
CLO1313_RS03010,Clo1313_0591,,hypothetical protein
CLO1313_RS03015,Clo1313_0592,,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
CLO1313_RS03020,Clo1313_0593,,hypothetical protein
CLO1313_RS03025,Clo1313_0594,,hypothetical protein
CLO1313_RS03030,Clo1313_0595,,DUF975 domain-containing protein
CLO1313_RS03035,Clo1313_0596,,FHA domain-containing protein
CLO1313_RS03040,Clo1313_0597,,cell cycle protein
CLO1313_RS03045,Clo1313_0598,,peptidoglycan glycosyltransferase
CLO1313_RS03050,Clo1313_0599,,hypothetical protein
CLO1313_RS03055,Clo1313_0600,,hypothetical protein
CLO1313_RS03060,Clo1313_0601,,hypothetical protein
CLO1313_RS03065,Clo1313_0602,,IS256 family transposase ISCth4
CLO1313_RS03070,Clo1313_0603,,hypothetical protein
CLO1313_RS03075,Clo1313_0604,,hypothetical protein
CLO1313_RS03080,Clo1313_0605,,hypothetical protein
CLO1313_RS03085,,,DNA primase
CLO1313_RS03090,,,ISL3 family transposase
CLO1313_RS15545,Clo1313_0608,,transposase
CLO1313_RS03105,Clo1313_0609,,polysaccharide biosynthesis protein GtrA
CLO1313_RS03110,Clo1313_0610,,RNA 2'-phosphotransferase
CLO1313_RS03115,Clo1313_0611,,hypothetical protein
CLO1313_RS03120,,,hypothetical protein
CLO1313_RS03125,Clo1313_0612,,signal transduction histidine kinase
CLO1313_RS03130,Clo1313_0613,,cephalosporin deacetylase
CLO1313_RS03150,Clo1313_0614,,polysaccharide biosynthesis protein
CLO1313_RS03155,Clo1313_0615,,hypothetical protein
CLO1313_RS03160,Clo1313_0616,,ABC transporter ATP-binding protein
CLO1313_RS03165,Clo1313_0617,,ABC transporter permease
CLO1313_RS03170,Clo1313_0618,,sensor histidine kinase
CLO1313_RS03175,Clo1313_0619,,DNA-binding response regulator
CLO1313_RS03180,Clo1313_0620,yyaC,spore protease YyaC
CLO1313_RS15550,Clo1313_0621,,DUF1540 domain-containing protein
CLO1313_RS03185,Clo1313_0622,,acyl-ACP thioesterase
CLO1313_RS03190,Clo1313_0623,,HAD family phosphatase
CLO1313_RS03195,Clo1313_0624,,Cof-type HAD-IIB family hydrolase
CLO1313_RS03200,Clo1313_0625,,DUF3520 domain-containing protein
CLO1313_RS03205,Clo1313_0626,,radical SAM protein
CLO1313_RS03210,Clo1313_0627,,cellulosome anchoring protein cohesin subunit
CLO1313_RS15440,Clo1313_0628,,cellulosome anchoring protein cohesin subunit
CLO1313_RS03220,Clo1313_0629,,Cell surface glycoprotein 2
CLO1313_RS03225,Clo1313_0630,,cellulosome-anchoring protein
CLO1313_RS03230,Clo1313_0631,,transglutaminase
CLO1313_RS03235,Clo1313_0632,,hypothetical protein
CLO1313_RS03240,Clo1313_0633,,hypothetical protein
CLO1313_RS03245,Clo1313_0634,,class I SAM-dependent RNA methyltransferase
CLO1313_RS03250,Clo1313_0635,,response regulator
CLO1313_RS03255,Clo1313_0636,aroA,3-phosphoshikimate 1-carboxyvinyltransferase
CLO1313_RS03260,Clo1313_0637,spo0A,sporulation transcription factor Spo0A
CLO1313_RS03265,Clo1313_0638,,HU family DNA-binding protein
CLO1313_RS03270,Clo1313_0639,,universal stress protein UspA
CLO1313_RS03275,Clo1313_0640,,fumarate hydratase
CLO1313_RS03280,Clo1313_0641,,fumarate hydratase
CLO1313_RS03285,Clo1313_0642,,disulfide oxidoreductase
CLO1313_RS03290,Clo1313_0643,,adenylosuccinate synthetase
CLO1313_RS03320,Clo1313_0644,,IS200/IS605 family transposase
CLO1313_RS03325,Clo1313_0645,,glycosyltransferase
CLO1313_RS03330,Clo1313_0646,,phospholipid carrier-dependent glycosyltransferase
CLO1313_RS03335,Clo1313_0647,,hypothetical protein
CLO1313_RS03340,Clo1313_0648,,glycosyltransferase
CLO1313_RS03345,Clo1313_0649,,DUF2304 domain-containing protein
CLO1313_RS03350,Clo1313_0650,,glycosyltransferase family 2 protein
CLO1313_RS03355,Clo1313_0651,,diaminopimelate epimerase
CLO1313_RS03360,Clo1313_0652,,LL-diaminopimelate aminotransferase
CLO1313_RS03365,Clo1313_0653,,LytR family transcriptional regulator
CLO1313_RS03370,Clo1313_0654,,2-hydroxyglutaryl-CoA dehydratase
CLO1313_RS03375,Clo1313_0655,,2-hydroxyglutaryl-CoA dehydratase
CLO1313_RS03380,Clo1313_0656,queC,7-cyano-7-deazaguanine synthase
CLO1313_RS03385,Clo1313_0657,queD,6-carboxytetrahydropterin synthase QueD
CLO1313_RS03390,Clo1313_0658,,radical SAM protein
CLO1313_RS03395,Clo1313_0659,,uracil-DNA glycosylase
CLO1313_RS03400,Clo1313_0660,,uracil-DNA glycosylase
CLO1313_RS03430,Clo1313_0661,,tRNA threonylcarbamoyladenosine dehydratase
CLO1313_RS03435,Clo1313_0662,,IS200/IS605 family transposase
CLO1313_RS03440,Clo1313_0663,,hypothetical protein
CLO1313_RS03445,Clo1313_0665,,glycosidase
CLO1313_RS03450,Clo1313_0666,,nucleotidyltransferase
CLO1313_RS03455,Clo1313_0667,,glycosyl transferase family 1
CLO1313_RS03460,Clo1313_0668,,hypothetical protein
CLO1313_RS03465,Clo1313_0669,,mannose-6-phosphate isomerase
CLO1313_RS03470,Clo1313_0670,,ZIP family metal transporter
CLO1313_RS03475,Clo1313_0671,,hemerythrin
CLO1313_RS03480,Clo1313_0672,,flavin reductase
CLO1313_RS03485,Clo1313_0673,nifJ,pyruvate:ferredoxin (flavodoxin) oxidoreductase
CLO1313_RS15555,Clo1313_0674,,DUF3787 domain-containing protein
CLO1313_RS03490,,,hypothetical protein
CLO1313_RS03495,Clo1313_0675,,hypothetical protein
CLO1313_RS03500,Clo1313_0676,,hypothetical protein
CLO1313_RS03505,Clo1313_0677,,AMP-dependent synthetase
CLO1313_RS03510,Clo1313_0678,,Hsp20/alpha crystallin family protein
CLO1313_RS03515,Clo1313_0679,,NUDIX hydrolase
CLO1313_RS03520,Clo1313_0680,,peptidase M56
CLO1313_RS03525,Clo1313_0681,,iron-sulfur protein
CLO1313_RS03530,Clo1313_0682,,citrate transporter
CLO1313_RS03535,Clo1313_0683,,hypothetical protein
CLO1313_RS03540,Clo1313_0684,,VWA domain-containing protein
CLO1313_RS03545,Clo1313_0685,,dockerin
CLO1313_RS03550,Clo1313_0686,,alpha/beta hydrolase
CLO1313_RS03555,,,hypothetical protein
CLO1313_RS03560,Clo1313_0688,,hypothetical protein
CLO1313_RS03565,Clo1313_0689,,peptidase S8
CLO1313_RS03570,,,hypothetical protein
CLO1313_RS03575,Clo1313_0691,,hypothetical protein
CLO1313_RS03580,Clo1313_0692,,TetR/AcrR family transcriptional regulator
CLO1313_RS03585,Clo1313_0693,,lipase
CLO1313_RS03590,Clo1313_0694,,hypothetical protein
CLO1313_RS03595,,,hypothetical protein
CLO1313_RS03600,,,AraC family transcriptional regulator
CLO1313_RS03605,Clo1313_0696,,transcriptional regulator
CLO1313_RS03610,Clo1313_0697,,peptidase M56
CLO1313_RS03615,Clo1313_0698,,ABC transporter ATP-binding protein
CLO1313_RS03620,Clo1313_0699,,ABC transporter ATP-binding protein
CLO1313_RS03625,Clo1313_0700,,aminoacyl-histidine dipeptidase
CLO1313_RS03630,Clo1313_0701,cobD,cobalamin biosynthesis protein CobD
CLO1313_RS03635,Clo1313_0702,,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
CLO1313_RS03640,Clo1313_0703,,adenosylcobinamide-GDP ribazoletransferase
CLO1313_RS03645,Clo1313_0704,cobC,alpha-ribazole phosphatase
CLO1313_RS03650,Clo1313_0705,,ECF transporter S component
CLO1313_RS03655,Clo1313_0706,,MBL fold metallo-hydrolase
CLO1313_RS03660,Clo1313_0707,,chemotaxis protein
CLO1313_RS03665,Clo1313_0708,,2-isopropylmalate synthase
CLO1313_RS03670,Clo1313_0709,,aconitate hydratase
CLO1313_RS03675,Clo1313_0710,,GntR family transcriptional regulator
CLO1313_RS03680,Clo1313_0711,,SAM-dependent methyltransferase
CLO1313_RS03685,Clo1313_0712,,RNA pseudouridine synthase
CLO1313_RS03690,Clo1313_0713,,SAM-dependent methyltransferase
CLO1313_RS03695,Clo1313_0714,,carbohydrate-binding protein
CLO1313_RS03700,Clo1313_0715,,DNA-binding response regulator
CLO1313_RS03705,Clo1313_0716,,peptidyl-prolyl cis-trans isomerase
CLO1313_RS03710,Clo1313_0717,,glucose-1-phosphate adenylyltransferase
CLO1313_RS03715,Clo1313_0718,glgD,glucose-1-phosphate adenylyltransferase subunit GlgD
CLO1313_RS03720,Clo1313_0719,,lipid kinase
CLO1313_RS03725,Clo1313_0720,,enoyl-ACP reductase
CLO1313_RS03730,Clo1313_0721,,ABC transporter ATP-binding protein
CLO1313_RS03735,Clo1313_0722,,hypothetical protein
CLO1313_RS03740,Clo1313_0723,,ABC transporter permease
CLO1313_RS03750,Clo1313_0724,,membrane protein
CLO1313_RS03755,Clo1313_0725,,DUF4363 domain-containing protein
CLO1313_RS03760,Clo1313_0726,,DUF421 domain-containing protein
CLO1313_RS03765,Clo1313_0727,,acid-soluble spore protein
CLO1313_RS03770,Clo1313_0728,,galactosyldiacylglycerol synthase
CLO1313_RS03775,Clo1313_0729,,DUF342 domain-containing protein
CLO1313_RS03780,Clo1313_0730,,D-alanyl-D-alanine carboxypeptidase
CLO1313_RS03785,Clo1313_0731,,rRNA methyltransferase
CLO1313_RS03790,Clo1313_0732,,Trk system potassium transporter TrkA
CLO1313_RS03795,Clo1313_0733,,potassium transporter KefA
CLO1313_RS03800,Clo1313_0734,,tRNA-guanine transglycosylase
CLO1313_RS03805,Clo1313_0735,,B12-binding domain-containing radical SAM protein
CLO1313_RS03810,Clo1313_0736,,ATP-binding protein
CLO1313_RS03815,Clo1313_0737,,copper amine oxidase
CLO1313_RS03820,Clo1313_0738,,hypothetical protein
CLO1313_RS03825,Clo1313_0739,,ATP-dependent RecD-like DNA helicase
CLO1313_RS03830,Clo1313_0740,,chromosome partitioning ATPase
CLO1313_RS03835,Clo1313_0741,,hypothetical protein
CLO1313_RS03840,Clo1313_0742,,phospholipase C
CLO1313_RS03845,Clo1313_0743,,sporulation protein
CLO1313_RS03850,Clo1313_0744,,hypothetical protein
CLO1313_RS03855,Clo1313_0745,,DUF1015 domain-containing protein
CLO1313_RS03860,Clo1313_0746,,photosystem reaction center subunit H
CLO1313_RS03865,Clo1313_0747,,YtxH domain-containing protein
CLO1313_RS03870,Clo1313_0748,,AI-2E family transporter
CLO1313_RS03875,Clo1313_0749,,alanine--tRNA ligase
CLO1313_RS03880,Clo1313_0750,,CRISPR-associated protein
CLO1313_RS03885,Clo1313_0751,,hypothetical protein
CLO1313_RS03890,Clo1313_0752,,hypothetical protein
CLO1313_RS03895,Clo1313_0753,,hypothetical protein
CLO1313_RS03900,Clo1313_0754,,hypothetical protein
CLO1313_RS03905,Clo1313_0755,,hypothetical protein
CLO1313_RS03910,Clo1313_0756,,hypothetical protein
CLO1313_RS03915,Clo1313_0757,,hypothetical protein
CLO1313_RS03920,Clo1313_0758,,hypothetical protein
CLO1313_RS03925,Clo1313_0759,,hypothetical protein
CLO1313_RS03930,Clo1313_0760,,TIGR03986 family CRISPR-associated RAMP protein
CLO1313_RS03935,Clo1313_0761,,hypothetical protein
CLO1313_RS03940,Clo1313_0762,,TIGR02710 family CRISPR-associated protein
CLO1313_RS03945,,cas1,CRISPR-associated endonuclease Cas1
CLO1313_RS03950,Clo1313_0764,cas2,CRISPR-associated endonuclease Cas2
CLO1313_RS03955,Clo1313_0765,cas4,CRISPR-associated protein Cas4
CLO1313_RS03960,Clo1313_0766,,IS256 family transposase ISCth4
CLO1313_RS03965,Clo1313_0767,,hypothetical protein
CLO1313_RS15560,Clo1313_0768,,tetratricopeptide repeat protein
CLO1313_RS03970,Clo1313_0769,,hypothetical protein
CLO1313_RS03975,Clo1313_0770,,hypothetical protein
CLO1313_RS03980,Clo1313_0771,,hypothetical protein
CLO1313_RS03985,Clo1313_0772,,hypothetical protein
CLO1313_RS03990,Clo1313_0773,,IS3 family transposase
CLO1313_RS15795,Clo1313_0775,,hypothetical protein
CLO1313_RS03995,Clo1313_0777,,DUF5104 domain-containing protein
CLO1313_RS04000,Clo1313_0778,,copper amine oxidase
CLO1313_RS04005,Clo1313_0779,,copper amine oxidase
CLO1313_RS04010,Clo1313_0780,,copper amine oxidase
CLO1313_RS04015,Clo1313_0781,,hypothetical protein
CLO1313_RS04020,Clo1313_0782,,hypothetical protein
CLO1313_RS04025,Clo1313_0783,,hypothetical protein
CLO1313_RS04030,Clo1313_0784,,ankyrin repeat domain-containing protein
CLO1313_RS04035,Clo1313_0785,,IS256 family transposase ISCth5
CLO1313_RS04040,Clo1313_0786,,hypothetical protein
CLO1313_RS04045,Clo1313_0787,,hypothetical protein
CLO1313_RS04050,Clo1313_0788,,hypothetical protein
CLO1313_RS04055,Clo1313_0789,,hypothetical protein
CLO1313_RS04060,Clo1313_0790,,IS256 family transposase ISCth4
CLO1313_RS04065,Clo1313_0791,,(2Fe-2S)-binding protein
CLO1313_RS04070,Clo1313_0792,,hypothetical protein
CLO1313_RS04075,Clo1313_0793,,amino acid ABC transporter substrate-binding protein
CLO1313_RS04080,Clo1313_0794,,amino acid ABC transporter permease
CLO1313_RS04085,Clo1313_0795,,amino acid ABC transporter ATP-binding protein
CLO1313_RS04090,Clo1313_0796,,DNA alkylation repair protein
CLO1313_RS04095,Clo1313_0797,,zinc ribbon domain-containing protein
CLO1313_RS04100,,,hydrolase
CLO1313_RS04105,Clo1313_0799,,membrane protein
CLO1313_RS04110,Clo1313_0800,,N-acetyltransferase
CLO1313_RS04115,Clo1313_0801,,hypothetical protein
CLO1313_RS04120,Clo1313_0802,,MarR family transcriptional regulator
CLO1313_RS04125,Clo1313_0803,,MATE family efflux transporter
CLO1313_RS04130,Clo1313_0804,,hypothetical protein
CLO1313_RS04135,Clo1313_0805,,peptidase S1
CLO1313_RS15565,Clo1313_0806,,TetR family transcriptional regulator
CLO1313_RS04140,Clo1313_0807,,AraC family transcriptional regulator
CLO1313_RS04145,,,N-acetyltransferase
CLO1313_RS04150,Clo1313_0809,,DUF2935 domain-containing protein
CLO1313_RS04155,,,hypothetical protein
CLO1313_RS04160,,,hypothetical protein
CLO1313_RS04165,,,hypothetical protein
CLO1313_RS04170,,,hypothetical protein
CLO1313_RS04175,Clo1313_0811,,DNA-directed RNA polymerase sigma-70 factor
CLO1313_RS04180,Clo1313_0812,,anti-sigma-V factor rsiV
CLO1313_RS15445,,,hypothetical protein
CLO1313_RS04190,Clo1313_0813,,histidine phosphatase family protein
CLO1313_RS04195,Clo1313_0814,,hypothetical protein
CLO1313_RS04200,Clo1313_0815,,short-chain dehydrogenase
CLO1313_RS04205,Clo1313_0816,,IS200/IS605 family transposase
CLO1313_RS04210,Clo1313_0817,,hypothetical protein
CLO1313_RS04215,Clo1313_0818,,DUF4474 domain-containing protein
CLO1313_RS04220,Clo1313_0819,,serine/threonine protein phosphatase
CLO1313_RS04225,Clo1313_0820,,glycoside hydrolase family 1 protein
CLO1313_RS04230,Clo1313_0821,,AzlD domain-containing protein
CLO1313_RS04235,Clo1313_0822,,branched-chain amino acid ABC transporter permease
CLO1313_RS04240,Clo1313_0823,,sodium-translocating pyrophosphatase
